type,link_web,modelo,anio,precio,version,color,combustible,puertas,transmision,motor,tipo de carroceria
0km,https://auto.mercadolibre.com.ar/MLA-1376497507-peugeot-partner-confort-hdi-16-okm-blanco-_JM#position=7&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot Partner 1.6 Hdi Confort,2023,9.845.000,1.6 Hdi Confort,Gris,Eléctrico,3,Manual,1.6,Hatchback
0km,https://auto.mercadolibre.com.ar/MLA-1374888629-ds4-performance-line-215-at8-16-turbo-2023-okm-_JM#position=8&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Ds Ds4 1.6 Performance Line 215 At8,2023,28.100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1427032520-kia-k2500-con-caja-okm-2023-entrega-inmediata-_JM#position=9&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Kia K2500 2.5 Caja,2023,65.000,2.5 Caja,Blanco,Eléctrico,2,Manual,2.5,Light Truck
0km,https://auto.mercadolibre.com.ar/MLA-1414104288-ford-transit-diesel-22l-furgon-mediano-okm-2023-_JM#position=10&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Ford Transit 2.2 Furgon Mediano 350m,2023,15.548.680,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1369079915-volkswagen-taos-highline-at-okm-ac-_JM#position=11&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Taos 1.4 250 Tsi Highline,2023,15.500.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1413044802-volkswagen-taos-confort-250-tsi-at-okm-ac-_JM#position=12&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Taos 1.4 250 Tsi Comfortline,2023,11.800.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1401648114-ford-ranger-22l-cd-4x4-xl-diesel-okm-2023-2-_JM#position=13&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Ford Ranger 2.2 Cd Xl Tdci 150cv 4x4,2023,12.990.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1401596024-ford-ranger-22l-cd-4x4-xl-diesel-okm-2023-1-_JM#position=14&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Ford Ranger 2.2 Cd Xl Tdci 150cv 4x4,2023,12.990.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1400926172-toyota-yaris-xls-at-okm-2023-d-_JM#position=15&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Toyota Yaris 1.5 107cv Xls Cvt,2023,8.584.300,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1360767171-volkwagen-amarok-highline-20-4x4-aut-okm-2023-ent-inmed-fv-_JM#position=16&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Amarok 2.0 Cd Tdi 180cv Highline At,2023,19.799.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1360812471-volkswagen-amarok-highline-20-4x4-ma-okm-2023-ent-inmed-fv-_JM#position=17&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Amarok 2.0 Cd Tdi 180cv Highline,2023,17.999.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1346623651-kia-seltos-ex-16-at-2023-okm-_JM#position=18&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Kia Seltos 1.6 Ex,2023,51.990,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1344997287-kia-carnival-2023-premium-okm-sx-22-crdi-_JM#position=19&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Kia Carnival 2.2 Crdi Premium Avn,2023,78.999,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1344996310-kia-rio-sx-premium-okm-entrega-inmediata-oportunidad-_JM#position=20&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Kia Rio 1.6 Sx 4at,2023,22.990,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1332158775-kia-seltos-16-at-2023-okm-entrega-inmediata-_JM#position=21&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Kia Seltos 1.6 Ex,2023,53.590,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1282855188-volkswagen-amarok-v6-comfortline-okm-2023-entrega-inmed-fv-_JM#position=22&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Volkswagen Amarok 3.0 V6 Cd Comfortline,2022,18.499.915,N/A,N/A,N/A,N/A,N/A,N/A,N/A
