type,link_web,modelo,precio,marca,anio,version,color,combustible,puertas,transmision,motor,vehiculo
usado,https://auto.mercadolibre.com.ar/MLA-1489781238-audi-q3-2018-2017-2019-q2-a3-sportback-q5-sedan-a1-a4-usada-_JM#position=16&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Audi Q3 2.0 Tfsi Stronic Quattro 220cv,36.500,Audi,2018,2.0 Tfsi Stronic Quattro 220cv,Plateado,Nafta,5,Automática,2.0,SUV
usado,https://auto.mercadolibre.com.ar/MLA-1472600348-toyota-corolla-seg-cvt-18-2017-concesionario-oficial-lp-_JM#position=17&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Toyota Corolla 1.8 Se-g Cvt 140cv,10.700.000,Toyota,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1383839513-chrevrolet-tracker-2015-18-ltz-4x2-fwd-mz-_JM#position=18&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,7.394.000,Chevrolet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1383866447-chevrolet-cruze-2013-4p-ltz-manual-mz-_JM#position=19&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Cruze 1.8 Lt Mt 4 P,6.699.800,Chevrolet,2013,1.8 Lt Mt 4 p,Blanco,Nafta,4,Manual,1.8,Sedán
usado,https://auto.mercadolibre.com.ar/MLA-1469710208-audi-a1-2020-mini-cooper-2019-2021-usado-118-a200-countryman-_JM#position=20&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Audi A1 1.4 Tfsi Stronic 125cv,31.000,Audi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1480519298-mini-cooper-2020-usado-2021-2019-0km-audi-a1-bmw-118-a200-a3-_JM#position=21&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Mini Cooper 1.5 F56 Pepper Wired 136cv,31.000,Mini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1480834402-audi-a1-sportback-2018-2017-2019-2020-a3-sedan-q2-q3-usado-a-_JM#position=22&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Audi A1 1.4 Tfsi Stronic 125cv,23.000,Audi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1385951561-chevrolet-cruze-5-puertas-14-t-rs-at-2022-_JM#position=23&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Cruze 5 1.4 Rs At 5 P,15.286.250,Chevrolet,2022,1.4 Rs At 5 p,Rojo,Nafta,5,Automática,1.4,Hatchback
usado,https://auto.mercadolibre.com.ar/MLA-1490447960-kia-sportage-5-puertas-20-ex-4x2-at-2015-jdg-_JM#position=24&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Kia Sportage 2.0 Ex 2wd 163cv At,14.832.720,Kia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1385828929-toyota-etios-cross-5-puertas-15-xls-2014-gd-_JM#position=25&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Toyota Etios 1.5 Cross,5.900.160,Toyota,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1384578735-volkswagen-cross-up-2016-usado-_JM#position=26&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Volkswagen Up! 1.0 Cross Up!,6.000.000,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1383478289-chevrolet-onix-ltz-usado-_JM#position=27&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Chevrolet Onix 1.4 Ltz At 98cv,6.200.000,Chevrolet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1468503388-fiat-cronos-13-gse-usado-_JM#position=28&search_layout=grid&type=item&tracking_id=2842dc5b-69e1-46f0-957c-3d97e8652bad,Fiat Cronos 1.3 Gse Drive Pack Conectividad,7.200.000,Fiat,2020,1.3 Gse Drive Pack Conectividad,Gris,Nafta,4,Manual,1.3,Sedán
